x	y	z	data1	data2
				
-0.353	-1.490	0.718	0.777	0.785
1.176	-0.015	1.907	0.598	0.525
-0.627	-0.758	-1.498	0.578	0.755
-0.150	0.314	1.009	0.579	0.550
-0.529	1.774	1.308	0.302	0.288
0.718	-0.292	1.126	0.819	1.019
0.271	-1.867	-1.236	0.719	0.837
0.607	1.718	-0.285	0.430	0.427
-0.036	1.700	-1.942	0.256	0.308
-0.406	-0.567	-0.699	0.800	0.985
-0.090	-0.960	-1.461	0.658	0.831
-1.734	1.147	-0.198	0.243	0.127
-0.356	0.046	0.289	0.723	0.734
1.876	0.250	1.168	0.719	0.770
1.123	0.739	-0.321	0.713	0.552
0.916	-1.630	0.130	0.988	0.983
1.063	1.490	1.703	0.386	0.357
1.026	1.772	1.596	0.342	0.350
1.373	-1.614	0.179	0.980	0.860
1.081	1.384	1.604	0.468	0.217
1.915	1.638	-1.793	0.299	0.187
-1.555	-1.955	1.234	0.361	0.557
-0.416	0.095	-0.660	0.673	0.654
-0.032	0.601	-1.085	0.577	0.491
-0.968	-0.459	1.290	0.454	0.670
-1.852	0.597	-0.607	0.289	0.385
1.898	1.051	-1.338	0.475	0.383
0.906	0.303	-1.887	0.546	0.664
-1.408	0.528	1.821	0.274	0.391
-1.408	-0.887	0.721	0.532	0.417
0.819	1.359	1.442	0.429	0.480
-0.476	-0.293	1.756	0.526	0.490
-1.694	0.526	0.721	0.305	0.450
-0.357	1.334	1.670	0.310	0.200
-1.428	-0.919	-0.973	0.464	0.426
1.196	-0.397	1.542	0.738	0.816
1.721	0.217	1.680	0.597	0.577
-1.981	-0.225	-0.800	0.374	0.382
0.600	-1.638	-1.706	0.720	0.853
0.714	0.978	1.070	0.529	0.522
-0.986	-1.870	-1.660	0.489	0.327
1.373	-0.281	0.915	0.818	1.003
-0.824	-1.851	-0.208	0.712	0.591
-1.893	1.903	0.605	0.155	0.180
-1.627	0.089	-1.322	0.322	0.277
1.192	1.639	0.126	0.398	0.302
0.846	-0.467	0.535	0.924	0.841
1.134	1.538	-1.944	0.367	0.452
0.496	-0.980	-0.119	0.958	0.929
1.302	1.636	1.545	0.337	0.336
-1.860	1.578	-1.544	0.108	0.178
-0.378	-0.406	-0.230	0.739	0.892
-1.001	0.500	0.638	0.460	0.492
-0.076	0.270	-0.821	0.693	0.656
1.523	1.578	1.801	0.261	0.238
-0.877	-1.143	0.777	0.651	0.689
0.397	-1.985	-1.173	0.726	0.531
-1.895	1.522	0.219	0.217	0.076
-1.379	-1.060	1.517	0.413	0.486
1.336	-1.021	0.231	0.968	1.026
-1.220	0.564	1.009	0.409	0.266
1.319	-0.782	1.580	0.761	0.799
-0.648	1.302	1.367	0.394	0.380
0.684	1.535	-1.477	0.341	0.262
-1.791	1.781	-1.243	0.129	0.143
0.937	-0.437	-1.385	0.743	0.940
-0.002	1.205	-1.884	0.334	0.302
1.773	-1.372	-1.964	0.585	0.466
-0.841	0.501	0.386	0.512	0.541
-0.494	0.796	0.436	0.520	0.478
-1.545	-1.657	1.676	0.324	0.304
1.859	0.125	0.934	0.719	0.767
-0.270	1.554	-0.795	0.390	0.372
-1.662	-0.945	-0.018	0.488	0.417
0.867	-1.061	-0.967	0.888	0.796
0.027	1.359	0.931	0.495	0.359
-0.688	-0.018	-1.533	0.530	0.402
1.014	-1.391	0.984	0.919	0.822
1.344	-1.077	1.239	0.802	1.008
-0.985	0.632	0.981	0.377	0.446
0.138	0.252	-0.651	0.748	0.683
-0.259	-0.833	0.337	0.836	0.813
-1.369	0.489	-0.124	0.367	0.443
0.402	0.864	-1.651	0.438	0.510
1.750	-0.877	1.315	0.785	0.806
-1.569	-0.351	0.744	0.462	0.540
1.600	-0.551	-0.931	0.894	0.819
0.202	1.126	1.878	0.354	0.417
-0.291	-1.458	-1.265	0.698	0.618
-1.390	1.608	-0.800	0.250	0.046
-1.010	-0.841	-0.355	0.627	0.571
-0.211	-0.002	-1.054	0.641	0.814
0.131	1.134	-1.220	0.437	0.434
-0.581	0.708	0.822	0.530	0.610
1.092	-1.401	-1.278	0.768	0.879
1.527	0.786	0.089	0.671	0.620
0.936	-1.484	-0.815	0.909	1.096
-0.374	1.784	-0.149	0.375	0.429
0.417	1.546	1.701	0.329	0.430
0.564	0.060	-1.136	0.707	0.658
